place,province,lat,long,violation,sanction,fine_certainty,fine_value,number_of_charges_or_violations,number_of_people,individual_business,report_month,acting_agency,legislation,known_demographic,event_desc,event_url,other_event_url
nova scotia,ns,44.682,-63.7443,disobeying physical distancing,$697.50 fine ,yes,697.5,116,116,individual,apr,royal canadian mounted police,emergency program act,not specified,concerns raised about enforcement as n.s. police hand out dozens of covid-19 tickets,https://atlantic.ctvnews.ca/concerns-raised-about-enforcement-as-n-s-police-hand-out-dozens-of-covid-19-tickets-1.4896212,
"toronto, ontario ",on,43.6532,-79.3832,disobeying physical distancing,$750 fine,yes,880,5,5,individual,apr,toronto police services,emergency management and civil protection act,homeless,homeless people in toronto getting fined in the streets ,https://twitter.com/ZoeDodd/status/1250104900207378439,
"kitchener, ontario",on,43.4516,-80.4925,trespassing in hospital to visit someone with covid-19,trespassing ,no,NA,1,1,individual,apr,waterloo regional police service,criminal code,man,"man arrested, charged after trying to visit someone at grand river hospital",https://www.therecord.com/news-story/9955666-man-arrested-charged-after-trying-to-visit-someone-at-grand-river-hospital/,
"toronto, ontario ",on,43.6532,-79.3832,assault on enforcement officer ,assault,no,NA,1,1,individual,apr,toronto police services,criminal code,man,arrest made after toronto enforcement officer assaulted in park,https://www.cp24.com/news/arrest-made-after-toronto-enforcement-officer-assaulted-in-park-1.4902294,
"laval, quebec",qc,45.6066,-73.7124,disobeying physical distancing,$1546 fine,yes,1546,119,119,individual,apr,service de police de laval,health protection act,not specified,amendes-confinement: les policiers ont distribue pour plus de 3 millions $ en contraventions,https://www.journaldemontreal.com/2020/04/17/trois-millions-en-contraventions,
"quebec city, quebec",qc,46.8139,-71.208,"disobeying physical distancing, failing to comply with the health protection act ",$1546 fine,yes,1546,61,61,individual,apr,service de police de la ville de quebec,health protection act,not specified,amendes-confinement: les policiers ont distribue pour plus de 3 millions $ en contraventions,https://www.journaldemontreal.com/2020/04/17/trois-millions-en-contraventions,
"roussillon, quebec ",qc,45.3701,-73.6303,"disobeying physical distancing, failing to comply with the health protection act ",$1546 fine,yes,1546,51,51,individual,apr,roussillon intermunicipal board of police,health protection act,not specified,amendes-confinement: les policiers ont distribue pour plus de 3 millions $ en contraventions,https://www.journaldemontreal.com/2020/04/17/trois-millions-en-contraventions,
"gatineau, quebec",qc,45.4765,-75.7013,"disobeying physical distancing, failing to comply with the health protection act ",$1546 fine,yes,1546,47,47,individual,apr,police - ville de gatineau,health protection act,not specified,amendes-confinement: les policiers ont distribue pour plus de 3 millions $ en contraventions,https://www.journaldemontreal.com/2020/04/17/trois-millions-en-contraventions,
"sherbrooke, quebec ",qc,45.4042,-71.8929,"disobeying physical distancing, failing to comply with the health protection act ",$1546 fine,yes,1546,40,40,individual,apr,le service de police de sherbrooke,health protection act,not specified,amendes-confinement: les policiers ont distribue pour plus de 3 millions $ en contraventions,https://www.journaldemontreal.com/2020/04/17/trois-millions-en-contraventions,
"longueuil, quebec ",qc,45.5369,-73.5107,"disobeying physical distancing, failing to comply with the health protection act ",$1546 fine,yes,1546,38,38,individual,apr,service de police de l'agglomeration de longueuil,health protection act,not specified,amendes-confinement: les policiers ont distribue pour plus de 3 millions $ en contraventions,https://www.journaldemontreal.com/2020/04/17/trois-millions-en-contraventions,
"saint-jerome, quebec",qc,45.7754,-74.0049,"disobeying physical distancing, failing to comply with the health protection act ",$1546 fine,yes,1546,33,33,individual,apr,service de police ville de saint-jerome,health protection act,not specified,amendes-confinement: les policiers ont distribue pour plus de 3 millions $ en contraventions,https://www.journaldemontreal.com/2020/04/17/trois-millions-en-contraventions,
"saguenay, quebec",qc,48.4281,-74.0049,"disobeying physical distancing, failing to comply with the health protection act ",$1546 fine,yes,1546,24,24,individual,apr,le service de police de saguenay,health protection act,not specified,amendes-confinement: les policiers ont distribue pour plus de 3 millions $ en contraventions,https://www.journaldemontreal.com/2020/04/17/trois-millions-en-contraventions,
"terrebonne, quebec ",qc,45.693,-73.6331,"disobeying physical distancing, failing to comply with the health protection act ",$1546 fine,yes,1546,21,21,individual,apr,service de police ville de terrebonne,health protection act,not specified,amendes-confinement: les policiers ont distribue pour plus de 3 millions $ en contraventions,https://www.journaldemontreal.com/2020/04/17/trois-millions-en-contraventions,
"levis, qubec ",qc,45.693,-73.6331,"disobeying physical distancing, failing to comply with the health protection act ",$1546 fine,yes,1546,15,15,individual,apr,service de police de levis,health protection act,not specified,amendes-confinement: les policiers ont distribue pour plus de 3 millions $ en contraventions,https://www.journaldemontreal.com/2020/04/17/trois-millions-en-contraventions,
"trois-rivieres, quebec",qc,46.343,-72.5421,"disobeying physical distancing, failing to comply with the health protection act ",$1546 fine,yes,1546,14,14,individual,apr,police de trois-rivieres,health protection act,not specified,amendes-confinement: les policiers ont distribue pour plus de 3 millions $ en contraventions,https://www.journaldemontreal.com/2020/04/17/trois-millions-en-contraventions,
"richelieu-saint-laurent, quebec ",qc,45.5562,-73.2153,"disobeying physical distancing, failing to comply with the health protection act ",$1546 fine,yes,1546,13,13,individual,apr,regie intermunicipale de police richelieu-saint-laurent,health protection act,not specified,amendes-confinement: les policiers ont distribue pour plus de 3 millions $ en contraventions,https://www.journaldemontreal.com/2020/04/17/trois-millions-en-contraventions,
"therese-de-blainville, quebec",qc,45.6485,-73.81511,"disobeying physical distancing, failing to comply with the health protection act ",$1546 fine,yes,1546,10,10,individual,apr,regie intermunicipale de police therese-de-blainville,health protection act,not specified,amendes-confinement: les policiers ont distribue pour plus de 3 millions $ en contraventions,https://www.journaldemontreal.com/2020/04/17/trois-millions-en-contraventions,
"memphremagog, quebec",qc,45.2286,-72.2066,"disobeying physical distancing, failing to comply with the health protection act ",$1546 fine,yes,1546,4,4,individual,apr,regie de police de memphremagog,health protection act,not specified,amendes-confinement: les policiers ont distribue pour plus de 3 millions $ en contraventions,https://www.journaldemontreal.com/2020/04/17/trois-millions-en-contraventions,
"windsor, ontario",on,42.3149,-83.0364,non-essential buisness,$750 fine,yes,880,2,2,business,apr,windsor police service,emergency management and civil protection act,not specified,city of windsor tickets non-essential business amid covid-19 emergency,https://windsor.ctvnews.ca/city-of-windsor-tickets-non-essential-business-amid-covid-19-emergency-1.4899459,
"calgary, alberta",ab,51.0447,-114.0719,person licked their hands and touched items in a pharmacy after an altercation,"mischief, ticketed under the public health act",yes,1000,1,1,individual,apr,calgary police service,"criminal code, public health act ",not specified,police charge calgarian who intentionally licked hands before touching pharmacy items,https://www.cbc.ca/news/canada/calgary/police-covid-1.5533987,
"sioux lookout, ontario",on,50.0978,-91.922,disobeying physical distancing,$750 fine,yes,880,1,1,individual,apr,ontario provincial police,emergency management and civil protection act,not specified,sioux lookout opp hand out first covid-19 offence in northwestern ontario,https://www.cbc.ca/news/canada/thunder-bay/sioux-lookout-covid-19-charge-1.5534389,
"regina, saskatchewan",sk,50.4452,-104.6189,disobeying physical distancing,$2000 fine,yes,2000,13,13,individual,apr,royal canadian mounted police,public health act,not specified,sask. rcmp lay 13 covid-19 related charges on 894 calls for service,https://regina.ctvnews.ca/sask-rcmp-lay-13-covid-19-related-charges-on-894-calls-for-service-1.4901330,
"guelph, ontario",on,43.5448,-80.2482,non-essential business still operating,summons,no,NA,2,2,business,apr,guelph police services,emergency management and civil protection act,not specified,second guelph business faces coronavirus pandemic ticket,https://www.guelphmercury.com/news-story/9956417-second-guelph-business-faces-coronavirus-pandemic-ticket/,https://www.guelphmercury.com/community-story/9917615-guelph-business-ordered-to-court-for-not-closing-during-coronavirus-say-police/
"kenora, ontario",on,49.767,-94.4894,gathering of more than 10 people,$750 fine,yes,880,1,1,individual,apr,ontario provincial police,emergency management and civil protection act,38-year-old man,opp charge man for violating covid-19 emergency orders,https://www.tbnewswatch.com/local-news/opp-charge-man-for-violating-covid-19-emergency-orders-2270080,
"markham, ontario",on,43.8561,-79.337,coughing on money and threatening to give store clerk covid-19,mischief,no,NA,1,1,individual,apr,york regional police,criminal code,39-year-old man,man who allegedly told store clerk he hoped he got coronavirus and coughed on coins charged,https://toronto.ctvnews.ca/man-who-allegedly-told-store-clerk-he-hoped-he-got-coronavirus-and-coughed-on-coins-charged-1.4905263,
"sarnia, ontario",on,42.9745,-82.4066,gathering of more than 5 people,$750 fine,yes,880,2,2,individual,apr,sarnia police services,emergency management and civil protection act,not specified,two parties ticketed in sarnia,https://www.theobserver.ca/news/local-news/saturday-three-more-covid-19-cases-in-sarnia-lambton,
"sarnia, ontario",on,42.9745,-82.4066,non-essential business,$750 fine,yes,880,1,1,business,apr,sarnia police services,emergency management and civil protection act,not specified,local sarnia business charged with remaining open,https://www.theobserver.ca/news/local-news/saturday-three-more-covid-19-cases-in-sarnia-lambton,
new glasgow,ns,45.5872,-62.6451,gatherings and not maintaining physical distancing,$1000 fine,yes,1000,12,12,individual,apr,new glasgow regional police,health protection act,not specified,new glasgow police charge 12 people for failing to physical distance,https://atlantic.ctvnews.ca/new-glasgow-police-charge-12-people-for-failing-to-physical-distance-1.4903461,
"nanaimo, british columbia",bc,49.1659,-123.9401,allegedly spitting on dollar store employee,assault,no,NA,1,1,individual,apr,royal canadian mounted police,criminal code,not specified,man arrested after allegedly spitting on nanaimo dollar store employee over business hours,https://www.westerlynews.ca/news/man-arrested-after-allegedly-spitting-on-nanaimo-dollar-store-employee-over-business-hours/,
"the pas, manitoba",mb,53.8255,-101.2476,gathering of more than 10 people,$486 fine,yes,486,3,3,individual,apr,royal canadian mounted police,emergency measures act,"two women aged 43 and 25, a 26-year-old man",3 manitobans charged for violating covid-19 orders at house party in the pas: rcmp,https://globalnews.ca/news/6853531/3-manitobans-charged-covid-19-rcmp/,
saskatchewan,sk,52.9399,-106.4509,not physical distancing,$2000 fine,yes,2000,1,1,individual,apr,royal canadian mounted police,public health act,not specified,"sask. rcmp respond to 78 covid-19-related calls in the past week, one charge laid",https://panow.com/2020/04/24/sask-rcmp-respond-to-78-covid-19-related-calls-in-the-past-week-one-charge-laid/,
